"OBJECTID","CNTY_NM","DIST_NM","CNTY_NBR","FIPS","CREATE_DT","EDIT_DT","EDIT_NM","CRI_CYCLE","SHAPE_area","SHAPE_len"
1,"Cameron","Pharr",31,48061,"","","","",3036325865.79711,355130.177539
2,"Willacy","Pharr",245,48489,"","","","",1911660134.81447,218146.891292
3,"Hidalgo","Pharr",109,48215,"","","","",4110431603.66728,351241.680493
4,"Starr","Pharr",214,48427,"","","","",3191596037.66668,271541.117095
5,"Brooks","Pharr",24,48047,"","","","",2446492147.56962,215261.010111
6,"Kenedy","Pharr",66,48261,"","","","",4614919472.71568,289060.958480
7,"Zapata","Pharr",253,48505,"","","","",2743509998.67144,238359.385439
8,"Jim Hogg","Pharr",125,48247,"","","","",2944762802.83253,239224.288217
9,"Nueces","Corpus Christi",178,48355,"","","","",2831497235.43303,339136.342542
10,"Jim Wells","Corpus Christi",126,48249,"","","","",2247585366.34488,258335.830611
11,"Duval","Laredo",67,48131,"","","","",4648505676.01423,293022.707898
12,"San Patricio","Corpus Christi",205,48409,"","","","",1830571985.75543,313505.552766
13,"Webb","Laredo",240,48479,"","","","",8732639375.32900,492556.691904
14,"Aransas","Corpus Christi",4,48007,"","","","",1188529793.63170,191975.004957
15,"Refugio","Corpus Christi",196,48391,"","","","",2084764103.84961,316847.340774
16,"La Salle","Laredo",142,48283,"","","","",3892658611.17155,250683.621317
17,"Dimmit","Laredo",64,48127,"","","","",3407773155.89268,238973.983659
18,"McMullen","San Antonio",162,48311,"","","","",3010545947.85217,222670.631920
19,"Bee","Corpus Christi",13,48025,"","","","",2275710098.34619,231504.377114
20,"Live Oak","Corpus Christi",149,48297,"","","","",2789412806.73507,242742.765257
21,"Goliad","Corpus Christi",89,48175,"","","","",2220803011.40898,224756.854774
22,"Maverick","Laredo",159,48323,"","","","",3336857074.63142,301286.556324
23,"Zavala","Laredo",254,48507,"","","","",3354475682.94855,236011.585811
24,"Frio","San Antonio",83,48163,"","","","",2924168278.23516,217837.627306
25,"Victoria","Yoakum",235,48469,"","","","",2295831223.71777,283983.726599
26,"Karnes","Corpus Christi",129,48255,"","","","",1940238503.31409,204169.779327
27,"Matagorda","Yoakum",158,48321,"","","","",3585265642.56284,309297.938374
28,"Atascosa","San Antonio",7,48013,"","","","",3146090106.63453,235329.898714
29,"De Witt","Yoakum",62,48123,"","","","",2350459968.52341,212649.891448
30,"Wilson","San Antonio",247,48493,"","","","",2084881154.65734,197422.559230
31,"Galveston","Houston",85,48167,"","","","",1722360522.61843,308579.063824
32,"Brazoria","Houston",20,48039,"","","","",3837394733.17759,318786.989219
33,"Kinney","Laredo",136,48271,"","","","",3521538547.96167,249988.165568
34,"Uvalde","San Antonio",232,48463,"","","","",4035987593.02904,254788.747557
35,"Lavaca","Yoakum",143,48285,"","","","",2506804015.24768,198620.688629
36,"Wharton","Yoakum",241,48481,"","","","",2825410064.85006,253029.947073
37,"Medina","San Antonio",163,48325,"","","","",3451935708.69703,260024.765679
38,"Bexar","San Antonio",15,48029,"","","","",3245607385.39694,282986.837740
39,"Gonzales","Yoakum",90,48177,"","","","",2762784030.82534,220035.301284
40,"Guadalupe","San Antonio",95,48187,"","","","",1848482319.23567,244714.578805
41,"Chambers","Beaumont",36,48071,"","","","",2241587099.63600,261181.497967
42,"Bandera","San Antonio",10,48019,"","","","",2058453385.67594,212487.264247
43,"Colorado","Yoakum",45,48089,"","","","",2513596598.71492,243855.422947
44,"Comal","San Antonio",46,48091,"","","","",1484028096.25734,199024.879739
45,"Caldwell","Austin",28,48055,"","","","",1410111578.22906,191488.669120
46,"Real","San Angelo",193,48385,"","","","",1806037554.99557,192459.320617
47,"Austin","Yoakum",8,48015,"","","","",1693232557.55053,253402.804423
48,"Kendall","San Antonio",131,48259,"","","","",1710592446.64088,165220.441751
49,"Fayette","Yoakum",76,48149,"","","","",2475789076.02348,208455.254425
50,"Harris","Houston",102,48201,"","","","",4586074930.29572,417903.539019
51,"Orange","Beaumont",181,48361,"","","","",960920363.516481,172982.519258
52,"Waller","Houston",237,48473,"","","","",1336217940.34119,251543.539720
53,"Val Verde","Laredo",233,48465,"","","","",8340868415.02685,459103.873139
54,"Edwards","San Angelo",70,48137,"","","","",5471440627.66200,343281.956329
55,"Kerr","San Antonio",133,48265,"","","","",2856673755.65624,262804.913180
56,"Hays","Austin",106,48209,"","","","",1750829820.73065,186636.035370
57,"Bastrop","Austin",11,48021,"","","","",2310355281.26155,189801.977819
58,"Liberty","Beaumont",146,48291,"","","","",3029509145.46776,246749.481993
59,"Gillespie","Austin",87,48171,"","","","",2738061689.15564,217086.651770
60,"Blanco","Austin",16,48031,"","","","",1841345424.99036,175729.318744
61,"Hardin","Beaumont",101,48199,"","","","",2315247828.88544,275519.657031
62,"Lee","Austin",144,48287,"","","","",1635370035.23098,225567.735820
63,"Travis","Austin",227,48453,"","","","",2643655774.25679,253009.413837
64,"Presidio","El Paso",189,48377,"","","","",9949186513.63412,548054.659251
65,"Montgomery","Houston",170,48339,"","","","",2777919438.75737,278146.034578
66,"Terrell","Odessa",222,48443,"","","","",6084935855.42764,396927.097041
67,"Brewster","El Paso",22,48043,"","","","",15983446220.2983,625393.916867
68,"Sutton","San Angelo",218,48435,"","","","",3737041962.79244,254927.515367
69,"Kimble","San Angelo",134,48267,"","","","",3224143552.99277,249430.920059
70,"Burleson","Bryan",26,48051,"","","","",1748402768.19739,252521.551105
71,"Grimes","Bryan",94,48185,"","","","",2069003339.90056,250913.742405
72,"San Jacinto","Lufkin",204,48407,"","","","",1620464196.93449,226182.747229
73,"Llano","Austin",150,48299,"","","","",2492641635.39653,234685.689578
74,"Mason","Austin",157,48319,"","","","",2408009524.66322,197482.366813
75,"Brazos","Bryan",21,48041,"","","","",1522667584.20283,289487.525755
76,"Walker","Bryan",236,48471,"","","","",2066335594.48141,222705.672081
77,"Tyler","Beaumont",229,48457,"","","","",2413092141.42934,273795.844830
78,"Crockett","San Angelo",53,48105,"","","","",7240571919.67608,511838.028027
79,"Menard","San Angelo",164,48327,"","","","",2326978747.20758,204003.369521
80,"Schleicher","San Angelo",207,48413,"","","","",3392942611.67465,245363.074529
81,"Madison","Bryan",154,48313,"","","","",1217476906.52081,200975.696937
82,"Jeff Davis","El Paso",123,48243,"","","","",5837428902.66786,339266.199822
83,"Milam","Bryan",166,48331,"","","","",2634681592.54880,234929.206910
84,"Jasper","Beaumont",122,48241,"","","","",2501601468.68275,389245.106570
85,"Newton","Beaumont",176,48351,"","","","",2424428472.96770,380480.361052
86,"Robertson","Bryan",198,48395,"","","","",2231902041.18584,255025.747975
87,"Pecos","Odessa",186,48371,"","","","",12285609525.5155,623824.518101
88,"Trinity","Lufkin",228,48455,"","","","",1838917562.21229,228821.093388
89,"Lampasas","Brownwood",141,48281,"","","","",1841457503.68911,201370.951742
90,"San Saba","Brownwood",206,48411,"","","","",2934755019.66121,318663.216549
91,"McCulloch","Brownwood",160,48307,"","","","",2770057803.38320,254364.350502
92,"Falls","Waco",74,48145,"","","","",1995576402.95640,182396.870202
93,"Angelina","Lufkin",3,48005,"","","","",2229936317.13298,347588.529355
94,"Irion","San Angelo",119,48235,"","","","",2712939424.79513,208505.443204
95,"Concho","San Angelo",48,48095,"","","","",2561383783.75920,222091.555576
96,"Houston","Lufkin",114,48225,"","","","",3191088572.66263,320157.383947
97,"Sabine","Lufkin",202,48403,"","","","",1486644012.04630,206644.588762
98,"Crane","Odessa",52,48103,"","","","",2025825170.15507,248826.491330
99,"Reagan","San Angelo",192,48383,"","","","",3032649153.60827,222401.478354
100,"Ward","Odessa",238,48475,"","","","",2156259410.75842,295224.886355
101,"Upton","Odessa",231,48461,"","","","",3205245730.51003,227421.966038
102,"San Augustine","Lufkin",203,48405,"","","","",1528285275.37002,264165.121410
103,"Leon","Bryan",145,48289,"","","","",2787189191.19635,295887.150849
104,"Tom Green","San Angelo",226,48451,"","","","",3972863771.47699,352403.462595
105,"Coryell","Waco",50,48099,"","","","",2725147815.45639,209042.577719
106,"Mills","Brownwood",167,48333,"","","","",1934182332.97557,247593.167548
107,"Limestone","Waco",147,48293,"","","","",2406458702.75431,198129.596625
108,"Nacogdoches","Lufkin",174,48347,"","","","",2531019378.41324,412628.396695
109,"Shelby","Lufkin",210,48419,"","","","",2152357797.19318,267405.068279
110,"Reeves","Odessa",195,48389,"","","","",6817781497.59121,473160.645945
111,"Culberson","El Paso",55,48109,"","","","",9838384126.01453,425692.726213
